335.79822493667405,ciri
265.3889197080166,geralt
195.7197329044939,yarpen
170.60716266943925,said
135.4025100551105,like
134.59192381037818,triss
132.6944598540083,one
126.73023913918801,dwarf
121.86225904959946,witcher
110.90354888959125,elves
103.26955513480232,wagon
94.78175703857735,know
89.36565663637293,well
86.65760643527072,head
84.44983454768827,horses
81.2415060330663,could
81.2415060330663,away
78.53345583196409,two
77.63248422271387,time
75.82540563086188,around
75.82540563086188,back
75.82540563086188,see
74.70563562943147,wenck
64.99320482645304,even
64.47238260383328,zigrin
62.285154625350835,next
62.285154625350835,right
60.69831858115094,knight
59.577104424248624,far
59.577104424248624,little
57.15285294512401,scoiatael
56.869054223146414,side
56.869054223146414,hand
56.869054223146414,long
56.428885864153806,humans
54.1610040220442,heard
54.1610040220442,going
54.1610040220442,understand
54.1610040220442,anything
52.78114659230517,horse
51.45295382094199,behind
48.74490361983978,come
48.74490361983978,face
48.74490361983978,something
48.74490361983978,nothing
48.74490361983978,eyes
48.74490361983978,theyre
48.33894070139683,paulie
47.213226345972004,squirrels
47.13400827807628,say
46.03685341873757,suddenly
46.03685341873757,good
46.03685341873757,saw
46.03685341873757,help
46.03685341873757,go
46.03685341873757,turned
44.72831969618401,dwarves
44.3614195558365,sword
43.32880321763536,hands
43.32880321763536,fell
43.32880321763536,way
42.24341304639601,sir
40.62075301653315,look
40.62075301653315,take
40.62075301653315,get
40.62075301653315,without
39.14394658089878,soldier
38.47424036192305,elf
37.91270281543094,enchantress
37.91270281543094,wanted
37.91270281543094,amongst
37.273599746820004,saddle
36.94680261461362,people
36.94680261461362,woman
36.94680261461362,sick
